company_id,company_name,cash_from_operations_cr,free_cash_flow_cr,capex_cr,reinvestment_ratio,cashflow_health,warnings
ABB,Abbott India Ltd,1213.0,797.0,416.0,0.34,Healthy,No major cash flow concerns
ADANIENSOL,Adani Energy Solutions Ltd,6038.0,1095.0,4943.0,0.82,Healthy,No major cash flow concerns
ADANIENT,Adani Enterprises Ltd,10312.0,-8455.0,18767.0,1.82,Warning,Negative Free Cash Flow; Capital Expenditure exceeds Operating Cash Flow; Very High Reinvestment Ratio
ADANIGREEN,Adani Green Energy Ltd,7713.0,-13347.0,21060.0,2.73,Warning,Negative Free Cash Flow; Capital Expenditure exceeds Operating Cash Flow; Very High Reinvestment Ratio
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,15018.0,8250.0,6768.0,0.45,Healthy,No major cash flow concerns
ADANIPOWER,Adani Power Ltd,14170.0,17651.0,3481.0,0.25,Healthy,No major cash flow concerns
AMBUJACEM,Ambuja Cements Ltd,5646.0,-3295.0,8941.0,1.58,Warning,Negative Free Cash Flow; Capital Expenditure exceeds Operating Cash Flow; Very High Reinvestment Ratio
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",1920.0,383.0,1537.0,0.8,Healthy,No major cash flow concerns
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",6104.0,3556.0,2548.0,0.42,Healthy,No major cash flow concerns
ATGL,Adani Total Gas Ltd,,,,,Unknown,No major cash flow concerns
BAJAJ-AUTO,Bajaj Auto Ltd,6558.0,6486.0,72.0,0.01,Healthy,No major cash flow concerns
AXISBANK,Axis Bank Ltd,-5555.0,-14556.0,9001.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
BAJAJFINSV,Bajaj Finserv Ltd,-68674.0,-79634.0,10960.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,1941.0,1469.0,472.0,0.24,Healthy,No major cash flow concerns
BAJFINANCE,Bajaj Finance Ltd,-72760.0,-79931.0,7171.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
BANKBARODA,Bank of Baroda,-6274.0,-7559.0,1285.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
BHARTIARTL,Bharti Airtel Ltd,78898.0,27809.0,51089.0,0.65,Healthy,No major cash flow concerns
BEL,Bharat Electronics Ltd,4659.0,-1265.0,5924.0,1.27,Warning,Negative Free Cash Flow; Capital Expenditure exceeds Operating Cash Flow; Very High Reinvestment Ratio
BHEL,Bharat Heavy Electricals Limited,-3713.0,-2382.0,1331.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
BOSCHLTD,Bosch Ltd,1253.0,1536.0,283.0,0.23,Healthy,No major cash flow concerns
BPCL,Bharat Petroleum Corporation Ltd,35936.0,25415.0,10521.0,0.29,Healthy,No major cash flow concerns
BRITANNIA,Britannia Industries Ltd,2573.0,3050.0,477.0,0.19,Healthy,No major cash flow concerns
CANBK,Canara Bank,15046.0,13296.0,1750.0,0.12,Healthy,No major cash flow concerns
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,-35683.0,-38538.0,2855.0,,Critical,Negative Operating Cash Flow; Capital Expenditure exceeds Operating Cash Flow
CIPLA,Cipla Ltd,4134.0,1152.0,2982.0,0.72,Healthy,No major cash flow concerns
COALINDIA,Coal India Ltd,18103.0,13617.0,4486.0,0.25,Healthy,No major cash flow concerns
DABUR,Dabur India Ltd,2013.0,1042.0,971.0,0.48,Healthy,No major cash flow concerns
