,count,unique,top,freq,mean,std,min,25%,50%,75%,max
company_id,98,98,ABB,1,,,,,,,
year,98,1,Mar 2024,98,,,,,,,
return_on_equity_pct,97.0,,,,117.15134020618555,617.4804522287676,-5.33,11.63,15.83,24.54,4744.05
net_profit_margin_pct,98.0,,,,19.451122448979593,43.84312479181455,-3.98,7.215,14.024999999999999,20.224999999999998,432.73
debt_to_equity,97.0,,,,1.731855670103093,3.0150761218613633,0.0,0.05,0.43,1.64,14.87
asset_turnover,97.0,,,,3.3255670103092783,15.360585246084659,0.01,0.22,0.68,1.13,125.89
pe_ratio,91.0,,,,44.19021978021978,20.145687819703195,8.65,29.855,46.26,59.31,79.35
pb_ratio,91.0,,,,7.467582417582419,3.6518471249064386,0.72,4.44,7.43,10.05,14.75
dividend_yield_pct,91.0,,,,2.2742857142857145,1.3045749779203468,0.06,1.1549999999999998,2.18,3.395,4.43
free_cash_flow_cr,97.0,,,,1498.041237113402,22755.947028523082,-101229.0,-435.0,1344.0,9424.0,50429.0
cluster,98.0,,,,1.5918367346938775,0.7843407461424728,0.0,1.0,1.0,2.0,4.0
company_name,91,91,Abbott India Ltd,1,,,,,,,
broad_sector,91,10,Financials,23,,,,,,,
