[ROE] ABB | Source=34.9 | Computed=22.41 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=25.13 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=24.44 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=21.34 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=19.97 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=23.69 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=22.41 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=24.39 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=26.56 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=28.33 | Category=Formula Difference
[ROE] ABB | Source=34.9 | Computed=29.77 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=0.0 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=-0.65 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=13.77 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=14.12 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=18.87 | Category=Formula Difference
[ROE] ADANIENSOL | Source=8.59 | Computed=14.46 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=5.69 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=7.47 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=6.54 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=3.94 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=3.43 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=6.14 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=6.1 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=3.54 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=7.33 | Category=Formula Difference
[ROE] ADANIENT | Source=13.64 | Computed=8.53 | Category=Formula Difference
[ROE] ADANIGREEN | Source=14.7 | Computed=-3.91 | Category=Formula Difference
[ROE] ADANIGREEN | Source=14.7 | Computed=-10.29 | Category=Formula Difference
[ROE] ADANIGREEN | Source=14.7 | Computed=-24.57 | Category=Formula Difference
[ROE] ADANIGREEN | Source=14.7 | Computed=-2.89 | Category=Formula Difference
[ROE] ADANIGREEN | Source=14.7 | Computed=8.27 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=25.63 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=11.84 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=11.88 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=25.63 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=11.84 | Category=Formula Difference
[ROE] ADANIPORTS | Source=18.1 | Computed=11.88 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-53.46 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-4.45 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-14.25 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=7.38 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-205.8 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-236.56 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-12.76 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=-35.1 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=9.69 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=26.61 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=35.91 | Category=Formula Difference
[ROE] ADANIPOWER | Source=57.1 | Computed=48.28 | Category=Formula Difference
[ROE] AMBUJACEM | Source=9.24 | Computed=14.69 | Category=Formula Difference
[ROE] AMBUJACEM | Source=9.24 | Computed=14.77 | Category=Formula Difference
[ROE] AMBUJACEM | Source=9.24 | Computed=14.64 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=7.05 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=3.95 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=1.85 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=6.0 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=2.98 | Category=Formula Difference
[ROE] APOLLOHOSP | Source=13.81 | Computed=19.7 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=24.95 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=24.95 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=23.31 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=23.31 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=25.04 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=25.04 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=22.34 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=22.34 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=26.23 | Category=Formula Difference
[ROE] ASIANPAINT | Source=31.45 | Computed=26.23 | Category=Formula Difference
[ROE] ATGL | Source=20.5 | Computed=29.64 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=38.85 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=33.24 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=20.66 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=21.21 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=17.81 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=20.65 | Category=Formula Difference
[ROE] BAJAJ-AUTO | Source=26.5 | Computed=20.64 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=6.53 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=0.43 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=6.9 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=1.88 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=6.36 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=11.01 | Category=Formula Difference
[ROE] AXISBANK | Source=18.4 | Computed=7.38 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=28.38 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=23.53 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=21.72 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.41 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=21.36 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.39 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=22.64 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=19.15 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.56 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=20.66 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=26.31 | Category=Formula Difference
[ROE] BAJAJFINSV | Source=11.72 | Computed=25.85 | Category=Formula Difference
[ROE] BAJAJHLDNG | Source=14.8 | Computed=9.63 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=15.75 | Category=Formula Difference
[ROE] BAJFINANCE | Source=22.1 | Computed=16.28 | Category=Formula Difference
